DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
253119,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,14.31060,7.19163,14.31060,7.19163,122767,010029,253121,0,010029,main,1,1,30,0.5,2012-11-14,19311,NULL,1,NULL,alive
253120,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,19.45090,8.81543,19.45090,8.81543,122768,010030,253122,0,010030,main,1,1,68,0.5,2012-11-14,19311,NULL,1,NULL,alive
253121,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,19.33300,7.09152,19.33300,7.09152,122769,010031,253123,0,010031,main,1,1,18,0.5,2012-11-14,19311,NULL,1,NULL,alive
253122,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,16.07260,2.42915,16.07260,2.42915,122770,010032,253124,0,010032,main,1,1,44,0.5,2012-11-14,19311,NULL,1,NULL,alive
253123,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,16.11280,3.65175,16.11280,3.65175,122771,010033,253125,0,010033,main,1,1,65,0.5,2012-11-14,19311,NULL,1,NULL,alive
253124,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,15.66200,4.49163,15.66200,4.49163,122772,010034,253126,0,010034,main,1,1,34,0.5,2012-11-14,19311,NULL,1,NULL,alive
253125,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,17.99730,3.17835,17.99730,3.17835,122773,010035,253127,0,010035,main,1,1,45,0.5,2012-11-14,19311,NULL,1,NULL,alive
253126,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,19.82330,3.70671,19.82330,3.70671,122774,010036,253128,0,010036,main,1,1,46,0.5,2012-11-14,19311,NULL,1,NULL,alive
253127,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,12.00370,19.87200,12.00370,19.87200,122775,010037,253129,0,010037,main,1,1,41,0.5,2012-11-14,19311,Q,1,NULL,alive
253181,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,15.98080,14.22900,15.98080,14.22900,122824,010091,253183,0,010091,main,1,1,34,0.5,2012-11-14,19311,NULL,1,NULL,alive
